2215,103111,7. septembra,→,14.5084696098982,46.0900125259025
2216,103112,7. septembra,,14.5086353966768,46.0898229796124
3330,600022,Ajdovščina,,14.5039868517979,46.0535390082324
2022,503031,Akademija,→,14.52924188551,46.0321902788228
2023,503032,Akademija,,14.5290982905482,46.0320795364951
3335,502013,Ambrožev trg,→,14.5172493587762,46.0495728420941
3334,502014,Ambrožev trg,,14.5168919025372,46.0495752574493
2081,103031,AMZS,→,14.51192,46.07782
2082,103032,AMZS,,14.51221,46.07735
1861,804171,Andreja Bitenca,→,14.4651328356827,46.0853832906922
1860,804172,Andreja Bitenca,,14.4651100051609,46.0859041528413
2131,303061,Archinetova,→,14.5553811524467,46.056254518624
2132,303062,Archinetova,,14.5567446524791,46.056019318024
2087,101051,Astra,→,14.5084860025511,46.0647389188896
2088,101052,Astra,,14.5090730833369,46.0648973517199
1949,602051,Aškerčeva,→,14.498692577197,46.0466149021947
1948,602052,Aškerčeva,,14.4993791192346,46.0466733978688
1932,803021,Avtomontaža,→,14.4822732496708,46.0769346799793
1933,803022,Avtomontaža,,14.4824498264085,46.0773180697392
3570,604022,Barje,,14.5117994373386,46.0151835136562
3571,604023,Barje,→,14.5122216455221,46.0149206439703
1977,600011,Bavarski dvor (Korabar),,14.505488014758,46.0562502760306
1976,600012,Bavarski dvor (Kozolec),,14.5051456871461,46.0561009080242
2228,204141,Belinka,→,14.5746803012386,46.0914284680761
2229,204142,Belinka,,14.5757280921188,46.0911968501555
1874,101031,Bežigrad,→,14.5117702100289,46.0637341978335
1875,101032,Bežigrad,,14.5101806614003,46.063337242755
3367,403071,Bilečanska,→,14.5442139875665,46.0459449524855
3372,403072,Bilečanska,,14.5442050044137,46.0457009959408
3364,404121,Bizovik,,14.5719944841569,46.0378720155047
3798,504121,Bobrova,→,14.5323392057831,46.0241304097288
3799,504122,Bobrova,,14.5315397051802,46.0245121322412
3331,704041,Bokalce,→,14.448009,46.051926
1987,402041,Bolnica,→,14.5282085175713,46.0543085654282
1988,402042,Bolnica,,14.5289485995372,46.0542549933401
1870,802041,Bolnica P. Držaja,→,14.4857786602125,46.0675141042531
1871,802042,Bolnica P. Držaja,,14.485504304584,46.0679190680763
2098,703101,Bonifacija,→,14.4737691945907,46.0399914117333
2097,703102,Bonifacija,,14.4737331862327,46.0404553425657
3526,103191,Božičeva,→,14.520355679893,46.075776496368
3527,103192,Božičeva,,14.5203377135873,46.0756108212601
1880,203181,Bratislavska,→,14.5515032876908,46.0661748219224
1881,203182,Bratislavska,,14.5510579735067,46.065833148618
2238,803161,Bratov Babnik,→,14.4629982766378,46.0747447580168
2239,803162,Bratov Babnik,,14.4638432106842,46.0749701988413
2041,803131,Bratov Učakar,→,14.4727939732586,46.0698730895148
2040,803132,Bratov Učakar,,14.4733813920661,46.0697392773975
2203,101061,Bratov Židan,→,14.5029670392812,46.0652125914215
2204,101062,Bratov Židan,,14.5031369934877,46.0654599623076
3397,614021,Brglezov štradon,→,14.5001076533889,46.0093538327583
3398,614022,Brglezov štradon,,14.499595613677,46.0094289461203
2209,103021,Brinje,→,14.5056154640785,46.076962365076
2210,103022,Brinje,,14.5063455897371,46.0779175872901
2332,204121,Brnčičeva,→,14.555810025269,46.093735103828
2113,303071,Brodarjev trg,→,14.5530999343792,46.0544323043463
2114,303072,Brodarjev trg,,14.5534459082234,46.0542080945127
2250,203141,BTC-Emporium,→,14.544999032953,46.0621495427638
2249,203142,BTC-Emporium,,14.5449699852891,46.0617841842246
2252,203131,BTC-Kolosej,→,14.5485897737553,46.0656260766576
2251,203132,BTC-Kolosej,,14.5477370207839,46.0659349521535
2248,203121,BTC-tržnica,→,14.5442369722116,46.0656605142907
2247,203122,BTC-tržnica,,14.5439740522248,46.0654937304734
2246,203111,BTC-uprava,→,14.54187936884,46.0683627436705
2245,203112,BTC-uprava,,14.5420302286368,46.0681796083574
3524,103173,Center Stožice,→,14.5246136943398,46.0791274024066
2198,602011,Cankarjev dom,→,14.4985177210652,46.0510371818915
2197,602012,Cankarjev dom,,14.4970181229667,46.0500969106315
3401,614041,Capuder,→,14.4907831407397,46.0057013216667
3402,614042,Capuder,,14.4903609325562,46.0059266764209
2335,104091,Cesta na Brod,→,14.5461328227218,46.0965950903672
2336,104092,Cesta na Brod,,14.5470074985983,46.0960606197726
2166,404021,Cesta v Bizovik,→,14.5699107187337,46.044648308075
2167,404022,Cesta v Bizovik,,14.5702847383715,46.0444428781081
2226,703021,Cesta XV,→,14.4809096078738,46.0459573556179
2225,703022,Cesta XV,,14.4802774130743,46.0466046027991
2135,304041,Chengdujska,→,14.5659071731747,46.0551790871287
2119,304042,Chengdujska,,14.5674585490773,46.0548199178901
1864,803111,Čebelarska,→,14.4717184718765,46.0783920213723
1865,803112,Čebelarska,,14.4715954707461,46.0789262533192
2217,103121,Čerinova,→,14.5121427492657,46.0899877293292
2218,103122,Čerinova,,14.5124448134791,46.0902824219899
2099,704011,Dolgi most - obračališče,→,14.4632149619944,46.037391581951
3309,600032,Dalmatinova,,14.5052983679243,46.0541199976755
2168,404031,Dobrunje,→,14.5796107563175,46.0432198441493
3972,703111,Dolgi most,→,14.467858134689,46.0373577379256
4460,703112,Dolgi most,,14.4653428518935,46.0368196968669
3378,704051,Dolgi most Rotar,→,14.4529943236577,46.0337101762823
3352,704052,Dolgi most Rotar,,14.4522756714304,46.03369140625
3400,614031,Dornig,→,14.4959933693876,46.0075072636593
3399,614032,Dornig,,14.4948794584353,46.0076825338998
1947,602021,Drama,→,14.5023260218633,46.0489598659593
