403052,Emona,from_center
745022,Erbežnik,from_center
745021,Erbežnik,to_center
202082,Flajšmanova,from_center
301011,Friškovec,to_center
301012,Friškovec,from_center
304051,Fužine,to_center
725042,Gaberje pri Dob.Brvičar,from_center
725041,Gaberje pri Dob.Brvičar,to_center
725032,Gaberje pri Dobrovi,from_center
725031,Gaberje pri Dobrovi,to_center
603093,Galjevica,to_center
603094,Galjevica,from_center
104221,Gameljne,to_center
102031,Gasilska brigada,to_center
102032,Gasilska brigada,from_center
603022,Gerbičeva,from_center
603021,Gerbičeva,to_center
703082,Glince,from_center
703081,Glince,to_center
402051,Glonarjeva,to_center
402052,Glonarjeva,from_center
714022,Gmajna,from_center
714021,Gmajna,to_center
603151,Goluhova,to_center
603152,Goluhova,from_center
103091,Gorjančeva,to_center
103092,Gorjančeva,from_center
402061,Gornje Poljane,to_center
402062,Gornje Poljane,from_center
504011,Gornji Rudnik,to_center
504012,Gornji Rudnik,from_center
602101,Gornji trg,to_center
602102,Gornji trg,from_center
815102,Gostilna Kovač,from_center
815101,Gostilna Kovač,to_center
505141,Grosuplje,to_center
204021,GZL,to_center
204022,GZL,from_center
602032,Hajdrihova,from_center
602031,Hajdrihova,to_center
604042,Havptmance,from_center
604041,Havptmance,to_center
603131,Hladnikova,to_center
603132,Hladnikova,from_center
716012,Horjul,from_center
716011,Horjul,to_center
700012,Hotel Lev,from_center
101011,Hranilniška,to_center
101012,Hranilniška,from_center
725072,Hrastenice,from_center
725071,Hrastenice,to_center
204061,Hrastje,to_center
204062,Hrastje,from_center
816012,Hraše center,from_center
816011,Hraše center,to_center
816021,Hraše vzhod,to_center
816022,Hraše vzhod,from_center
815131,Hraše zahod,to_center
815132,Hraše zahod,from_center
725052,Hruševo,from_center
725051,Hruševo,to_center
404112,Hruševska,from_center
404111,Hruševska,to_center
404011,Hrušica,to_center
404012,Hrušica,from_center
402011,Hrvatski trg,to_center
402012,Hrvatski trg,from_center
625022,Ig,from_center
625021,Ig,to_center
605012,Ig AP,from_center
605011,Ig AP,to_center
605082,Ig Petrol,from_center
605081,Ig Petrol,to_center
501011,Ilirska,to_center
501012,Ilirska,from_center
603102,Ilovica,from_center
603101,Ilovica,to_center
804161,IMP,to_center
804162,IMP,from_center
625052,Iška vas,from_center
625051,Iška vas,to_center
626011,Iška vas obračališče,to_center
625061,Iška vas šola,to_center
625062,Iška vas šola,from_center
604012,Iški most,from_center
604011,Iški most,to_center
603121,Ižanska,to_center
603122,Ižanska,from_center
604061,Ižica,to_center
604062,Ižica,from_center
603012,Jadranska,from_center
603011,Jadranska,to_center
703032,Jamnikarjeva,from_center
703031,Jamnikarjeva,to_center
403011,Jana Husa,to_center
403012,Jana Husa,from_center
744021,Japelj,to_center
744022,Japelj,from_center
203091,Jarše,to_center
203092,Jarše,from_center
425012,Javor pri Sostrem K.,from_center
425011,Javor pri Sostrem K.,to_center
405011,Javor/K.,to_center
405012,Javor/K.,from_center
745061,Jezero,to_center
104181,Ježa,to_center
104182,Ježa,from_center
104031,Ježica,to_center
104032,Ježica,from_center
104033,Ježica,to_center
504041,Jurčkova,to_center
504042,Jurčkova,from_center
815112,Kajakaška,from_center
815111,Kajakaška,to_center
303022,Kajuhova,to_center
104021,Kališnikov trg,to_center
104022,Kališnikov trg,from_center
803181,Kamna Gorica,to_center
102091,Kardeljeva ploščad,to_center
102092,Kardeljeva ploščad,from_center
203052,Kavčičeva,to_center
203051,Kavčičeva,from_center
802021,Kino Šiška,to_center
802022,Kino Šiška,from_center
402031,Klinični center,to_center
402032,Klinični center,from_center
803082,Kneza Koclja,from_center
803081,Kneza Koclja,to_center
403023,Kodeljevo,to_center
403022,Kodeljevo,from_center
403021,Kodeljevo,to_center
403025,Kodeljevo - obračališče,from_center
203101,Kodrova,to_center
203102,Kodrova,from_center
700011,Kolizej,to_center
300011,Kolodvor,to_center
300012,Kolodvor,from_center
104101,Kolodvor Črnuče,to_center
104102,Kolodvor Črnuče,from_center
835021,Komandata Staneta,to_center
835022,Komandata Staneta,from_center
715022,Komanija,from_center
715021,Komanija,to_center
803031,Kompas,to_center
803032,Kompas,from_center
505172,Kongo,to_center
601012,Konzorcij,from_center
603041,Koprska,to_center
603044,Koprska,from_center
803142,Koseze,from_center
803141,Koseze,to_center
826111,Koseze,to_center
826112,Koseze,from_center
826121,Koseze Stare,to_center
826122,Koseze Stare,from_center
804081,Kosmačeva,to_center
804082,Kosmačeva,from_center
625042,Kot,from_center
625041,Kot,to_center
803212,Kovinarska,from_center
803211,Kovinarska,to_center
704102,Kozarje,from_center
704101,Kozarje,to_center
714012,Kozarje GD,from_center
714011,Kozarje GD,to_center
614082,Kozler,from_center
614081,Kozler,to_center
404051,KPL,to_center
404052,KPL,from_center
203211,Kranjčeva,to_center
501032,Krekov trg,to_center
501031,Krekov trg,from_center
603032,Krimska,from_center
603031,Krimska,to_center
602061,Križanke,to_center
602062,Križanke,from_center
404081,Križišče Sostro,to_center
404082,Križišče Sostro,from_center
404083,Križišče Sostro,to_center
404084,Križišče Sostro,from_center
404102,Krožna pot,from_center
404101,Krožna pot,to_center
536022,Krpan,to_center
101034,Kržičeva,from_center
804312,Kurirska,from_center
804311,Kurirska,to_center
727012,Kurja vas/Šentjoštu,to_center
